,dt,LandAverageTemperature,difference_with_meadian
0,1750-01-01,3.0340000000000003,-5.7035
1,1750-02-01,3.083,-5.6545000000000005
2,1750-03-01,5.626,-3.1115000000000004
3,1750-04-01,8.49,-0.2475000000000005
4,1750-05-01,11.573,2.8354999999999997
5,1750-06-01,12.937,4.199499999999999
6,1750-07-01,15.868,7.1305
7,1750-08-01,14.75,6.012499999999999
8,1750-09-01,11.412999999999998,2.6754999999999978
9,1750-10-01,6.366999999999999,-2.3705000000000016
10,1750-11-01,,
11,1750-12-01,2.772,-5.9655000000000005
12,1751-01-01,2.495,-6.242500000000001
13,1751-02-01,0.963,-7.774500000000001
14,1751-03-01,5.8,-2.937500000000001
15,1751-04-01,7.67,-1.0675000000000008
16,1751-05-01,,
17,1751-06-01,13.827,5.089499999999999
18,1751-07-01,,
19,1751-08-01,14.405,5.667499999999999
20,1751-09-01,10.673,1.9354999999999993
21,1751-10-01,,
22,1751-11-01,,
23,1751-12-01,,
24,1752-01-01,0.3480000000000003,-8.3895
25,1752-02-01,,
26,1752-03-01,5.806,-2.9315000000000007
27,1752-04-01,8.264999999999999,-0.4725000000000019
28,1752-05-01,,
29,1752-06-01,,
30,1752-07-01,,
31,1752-08-01,,
32,1752-09-01,,
33,1752-10-01,7.838999999999999,-0.8985000000000021
34,1752-11-01,7.335,-1.4025000000000007
35,1752-12-01,5.086,-3.6515000000000004
36,1753-01-01,2.039,-6.698500000000001
37,1753-02-01,0.7149999999999999,-8.0225
38,1753-03-01,5.424,-3.3135000000000003
39,1753-04-01,8.272,-0.46550000000000047
40,1753-05-01,12.186,3.4484999999999992
41,1753-06-01,14.585,5.8475
42,1753-07-01,15.092,6.3545
43,1753-08-01,14.148,5.410499999999999
44,1753-09-01,13.322,4.5844999999999985
45,1753-10-01,8.962,0.22449999999999903
46,1753-11-01,5.353,-3.384500000000001
47,1753-12-01,0.5589999999999997,-8.178500000000001
48,1754-01-01,1.574,-7.163500000000001
49,1754-02-01,-1.2489999999999997,-9.9865
50,1754-03-01,3.677,-5.060500000000001
51,1754-04-01,11.61,2.8724999999999987
52,1754-05-01,11.936,3.1984999999999992
53,1754-06-01,14.388,5.650499999999999
54,1754-07-01,14.681,5.9434999999999985
55,1754-08-01,13.556,4.8184999999999985
56,1754-09-01,11.129,2.391499999999999
57,1754-10-01,9.582,0.8445
58,1754-11-01,6.1610000000000005,-2.5765000000000002
59,1754-12-01,4.587,-4.150500000000001
60,1755-01-01,1.067,-7.6705000000000005
61,1755-02-01,-0.1080000000000001,-8.845500000000001
