dt,LandAverageTemperature,LandMaxTemperature,LandMinTemperature
1750-12-31,2.772,,
1751-12-31,10.673,,
1752-12-31,5.086,,
1753-12-31,0.559,,
1754-12-31,4.587,,
1755-12-31,2.564,,
1756-12-31,2.165,,
1757-12-31,1.021,,
1758-12-31,3.249,,
1759-12-31,0.247,,
1760-12-31,2.553,,
1761-12-31,-0.837,,
1762-12-31,3.123,,
1763-12-31,3.384,,
1764-12-31,5.315,,
1765-12-31,2.399,,
1766-12-31,2.333,,
1767-12-31,1.189,,
1768-12-31,2.667,,
1769-12-31,-0.978,,
1770-12-31,4.734,,
1771-12-31,2.522,,
1772-12-31,5.512,,
1773-12-31,5.091,,
1774-12-31,0.31,,
1775-12-31,1.284,,
1776-12-31,5.021,,
1777-12-31,3.067,,
1778-12-31,2.101,,
1779-12-31,2.269,,
1780-12-31,2.584,,
1781-12-31,3.288,,
1782-12-31,1.921,,
1783-12-31,2.224,,
1784-12-31,3.415,,
1785-12-31,1.873,,
1786-12-31,0.734,,
1787-12-31,1.796,,
1788-12-31,1.252,,
1789-12-31,3.099,,
1790-12-31,2.755,,
1791-12-31,3.526,,
1792-12-31,3.388,,
1793-12-31,2.037,,
1794-12-31,2.918,,
1795-12-31,2.573,,
1796-12-31,1.259,,
1797-12-31,3.275,,
1798-12-31,2.027,,
1799-12-31,3.487,,
1800-12-31,3.864,,
1801-12-31,4.578,,
1802-12-31,2.881,,
1803-12-31,2.327,,
1804-12-31,2.224,,
1805-12-31,4.158,,
1806-12-31,3.989,,
1807-12-31,4.421,,
1808-12-31,0.887,,
1809-12-31,2.077,,
1810-12-31,2.66,,
1811-12-31,3.174,,
1812-12-31,1.348,,
1813-12-31,2.171,,
1814-12-31,5.829,,
1815-12-31,1.221,,
1816-12-31,0.958,,
1817-12-31,0.17,,
1818-12-31,2.507,,
1819-12-31,1.842,,
1820-12-31,1.273,,
1821-12-31,2.717,,
1822-12-31,1.021,,
1823-12-31,1.971,,
1824-12-31,5.076,,
1825-12-31,3.037,,
1826-12-31,4.876,,
1827-12-31,2.722,,
1828-12-31,2.953,,
1829-12-31,2.452,,
1830-12-31,4.481,,
1831-12-31,2.265,,
1832-12-31,0.782,,
1833-12-31,2.558,,
1834-12-31,3.092,,
1835-12-31,1.198,,
1836-12-31,2.86,,
1837-12-31,2.285,,
1838-12-31,2.613,,
1839-12-31,1.074,,
1840-12-31,1.909,,
1841-12-31,2.548,,
1842-12-31,3.73,,
1843-12-31,3.765,,
1844-12-31,1.891,,
1845-12-31,1.736,,
1846-12-31,3.776,,
1847-12-31,1.726,,
1848-12-31,2.099,,
1849-12-31,1.923,,
1850-12-31,2.803,7.493,-2.807
